weight ratio	x_phen	Microscopy Eutectic	Microscopy Liquidus	DSC  Eutectic	DSC Liquidus
98/2	0.970693	97.7	135.3	98.04	135.94
95/5	0.927761	97.4	135.4	98.4	135.1
90/10	0.858827	97.6	134.2	98.91	131.3
80/20	0.730005	97.3	122.9	99.21	125.42
70/30	0.611982	97.6	133.3	99.13	127.41
60/40	0.503455	97.5	120	99.37	110.62
50/50	0.403321	97.6	100.9	99.16	104.46
40/60	0.310644	97.5	104.9	98.94	108.32
30/70	0.22462	97.5	122.4	98.88	114.95
20/80	0.144558	97.8	124.7	98.95	116.77
10/90	0.069858	97.5	125.5	98.82	124.71
5/95	0.034354	97.6	127.2	98.78	127.06
2/98	0.013607	97.5	127.7	96.76	128.07
